Genes	Proteins	N duplicates	Score	Raw DMSO	Raw 3nM	Raw 10nM	Raw 30nM	Raw 100nM	Raw 300nM	Raw 1000nM	Raw 3000nM	Raw 30000nM	Peptides	Name	Imputation N	Imputation Position	Ratio DMSO	Ratio 3nM	Ratio 10nM	Ratio 30nM	Ratio 100nM	Ratio 300nM	Ratio 1000nM	Ratio 3000nM	Ratio 30000nM	Signal Quality	pEC50	Curve Slope	Curve Front	Curve Back	Curve Fold Change	Curve AUC	Curve RMSE	Curve R2	pEC50 Error	Curve Slope Error	Curve Front Error	Curve Back Error	Null Model	Null RMSE	Curve F_Value	Curve P_Value	Curve Log P_Value	Curve F_Value SAM Corrected	Curve Relevance Score	Curve Regulation
EPHA2	P29317	1	323.31	311170000	303140000	207970000	61479000	1941500	963994	963994	963994	963994	52	EPHA2	4	300nM;1000nM;3000nM;30000nM	1.0	0.9741941703891763	0.6683484911784555	0.19757367355464858	0.006239354693575859	0.003097965742198798	0.003097965742198798	0.003097965742198798	0.003097965742198798	28.21312773543354	7.844483625595455	1.839400230260337	1.009262699985606	0.0001	-13.21044601218654	0.17452745557115512	0.010551915796091212	0.9993436722798057	0.014724363184177686	0.09580203492546892	0.012059022510266457	0.006766521854934732	0.23437663545279477	0.42021172732471684	3566.0077809603517	4.900729872819723e-09	8.309739235046425	720.4687983741962	6.536238201104256	down
EPHA4	P54764	1	234.1	143270000	113090000	83067000	5053500	963994	963994	963994	963994	3789200	27	EPHA4	4	100nM;300nM;1000nM;3000nM	1.0	0.7893487820199623	0.5797933970824318	0.035272562294967544	0.006728512598590075	0.006728512598590075	0.006728512598590075	0.006728512598590075	0.02644796538005165	27.094161307412815	7.907576255963984	2.4074298851593947	0.8696345867163391	0.005195931252912852	-7.340305754833871	0.1394350403972211	0.052900379606759675	0.9804785235111133	0.06929482926953588	0.8813583800415612	0.05667651115485346	0.03249982487809105	0.19225416829976755	0.38715141417109933	118.26098635861507	2.877623748681568e-05	4.540965990994801	60.216167245927565	3.8037238901940684	down
EPHA5	P54756;P29322	1	81.337	16954000	13263000	4950600	963994	963994	963994	963994	963994	963994	22	EPHA5	6	30nM;100nM;300nM;1000nM;3000nM;30000nM	1.0	0.7822932641264598	0.2920018874601864	0.05685938421611419	0.05685938421611419	0.05685938421611419	0.05685938421611419	0.05685938421611419	0.05685938421611419	24.015122356414018	8.247458608441544	1.9476004078409554	0.9971578393778749	0.05360646321732074	-3.8714575115874323	0.1320015696928878	0.011035878617817546	0.9989740380719514	0.017385033845381776	0.10667743513475705	0.014759314657024469	0.0064236698359463424	0.1900191082658052	0.353340767308765	2304.264470253318	1.495309994433227e-08	7.825268763917629	121.24576649155107	4.568326543012845	down
EPHB2	P29323	1	323.31	2805600000	2192400000	1145600000	308910000	64501000	29569000	12574000	4821800	4063700	53	EPHB2	0		1.0	0.781437125748503	0.4083262047333904	0.11010479041916167	0.02299009124607927	0.010539278585685772	0.004481750784145993	0.0017186341602509268	0.0014484245794126034	31.385662189689626	8.123843633857305	1.3959566857773165	0.9977553615043812	0.0016337923627675049	-8.893618646777487	0.11996751698165875	0.006608719877617776	0.9996672276072662	0.01177402300693058	0.043429556187593164	0.00874315550455394	0.004240522906243454	0.17826396862867672	0.3714111331434182	7104.281176836937	8.422384590555116e-10	9.074564931314901	558.1120916429053	6.253418371064018	down
EPHB3	P54753	1	178.87	31949000	30220000	21671000	19565000	963994	963994	963994	963994	963994	33	EPHB3	5	100nM;300nM;1000nM;3000nM;30000nM	1.0	0.9458825002347492	0.6782997902907759	0.6123822341857336	0.03017290056026793	0.03017290056026793	0.03017290056026793	0.03017290056026793	0.03017290056026793	24.92926743990278	7.478154079498628	1.6410924370518714	0.9098959511178792	0.014290860050147746	-5.964121475826494	0.24933776439661792	0.07557740130883553	0.9647745360506527	0.12646779842206576	0.7022591900680196	0.07694086017493695	0.05508729789970682	0.29748481474080085	0.4103394085339849	64.07619213841306	0.0001345150609722436	3.871229087178687	34.45821922414088	3.2021364168436808	down
EPHB4	P54760	1	315.05	226540000	200210000	78012000	6521200	963994	963994	963994	963994	16115000	43	EPHB4	4	100nM;300nM;1000nM;3000nM	1.0	0.8837732850710691	0.34436302639710425	0.028786086342367793	0.004255292663547276	0.004255292663547276	0.004255292663547276	0.004255292663547276	0.07113534033724729	27.75519056745705	8.148677938662017	2.1333639848955355	1.0074899740448597	0.016125319517723776	-5.755945930866317	0.11631722761210295	0.023352581025078804	0.996208678566331	0.033525101484677924	0.27204697996520044	0.03086814972853666	0.013587662263624	0.1781989633347142	0.3881029348937053	619.2005787647706	4.281078756549687e-07	6.368446782625787	131.33549868688166	4.65612001797777	down
EPHB6	O15197	1	96.029	38062000	41365000	37826000	35521000	5516400	5936300	963994	963994	963994	24	EPHB6	3	1000nM;3000nM;30000nM	1.0	1.0867794650832852	0.9937995901423993	0.9332405023382901	0.14493195312910515	0.1559639535494719	0.025326940255372812	0.025326940255372812	0.025326940255372812	25.181848035447036	7.262636842955907	3.402661620806418	1.0308339270645284	0.05334746365166571	-4.272177966953223	0.3613164199801071	0.0448743850168149	0.9906815599107694	0.06297812671596195	0.7879334772544181	0.0353892214075071	0.030508598693580708	0.41025728972567027	0.4712970910177634	245.9347068974485	4.49593267619611e-06	5.347180200680864	61.81843570061028	3.8322447861653717	down
EPRS	P07814	1	323.31	88527000	103260000	100220000	96219000	114780000	100460000	113770000	103890000	100530000	72	EPRS	0		1.0	1.1664238029075875	1.132083996972675	1.086888745806364	1.2965535938188348	1.134795034283326	1.285144645136512	1.1735402758480464	1.1355857534989324	26.39961419652994	7.338013652223232	10.0	1.1143211231782115	1.1983705276357992	0.10490900212375728	1.1734737262772894	0.0688756684979098	0.3665023803215822	45.40390688369714	2452.7073420482584	0.05335145101063031	0.046203576244285074	1.1688911075369444	0.08737876903818696	1.3712850223053097	0.40395477177829425	0.3936672573316894	0.08467215431759215	-0.0	not
ERAP1	Q9NZ08	1	29.217	7709200	14586000	9143700	7316300	6137200	9601700	5854900	5260400	5982100	12	ERAP1	0		1.0	1.8920251128521766	1.1860763762776942	0.9490349193171794	0.7960877912105018	1.2454859129351943	0.7594692056244488	0.6823535516006849	0.7759689721371867	22.878149725714128	7.988611786829027	3.4812300723961926	1.5923736917047335	0.8544215831538566	-0.8890247475444766	0.9533030370618509	0.27016046319238124	0.4210459943830642	0.2719962463310147	19.21311224413286	0.2874227140562759	0.1605777263382797	0.9993781156580149	0.35653864289686726	1.6687914137576034	0.3191163817380522	0.49605090086500836	0.8591392709717095	0.20391548953395258	
ERCC2	P18074	1	200.01	39305000	38612000	40665000	43561000	31684000	40962000	41534000	32271000	36215000	41	ERCC2	0		1.0	0.9823686553873553	1.0346011957766188	1.1082813891362422	0.8061060933723445	1.042157486324895	1.0567103421956494	0.8210405800788704	0.9213840478310648	25.228209514007656	5.759788088660483	10.0	1.003964168938688	0.8711754381770953	-0.20467259646658073	0.9629022634950359	0.08221817258666185	0.31088534539686385	7.8077495984069785	325.87472856286064	0.04503284100408536	0.11030725376635049	0.9657114479465326	0.09945316932898604	1.0421842566531665	0.5332087189399255	0.2731027576892761	0.18848804422492166	0.002274585379740634	not
ERN1	O75460	1	155.77	963994	5738800	963994	963994	963994	963994	10974000	963994	5459400	39	ERN1	6	DMSO;10nM;30nM;100nM;300nM;3000nM	1.0	5.9531490859901615	1.0	1.0	1.0	1.0	11.383888281462333	1.0	5.663313257136455	19.87866464143439	6.3795891392766	10.0	1.8179333966346223	5.323156150545934	1.5499825425053575	3.4449792767494567	2.9099332351032157	0.3050348094115173	101.51830258810783	7083.119123497855	1.7459750165694072	2.7606427565642684	3.3021589984361532	3.491525651986127	0.9892684634316619	0.55824147590929	0.25317789968298593	0.717924870896874	0.15076585379089447	
ERN2	Q76MJ5	1	28.164	7974600	7427900	7565000	9405800	963994	8353700	9901100	7055600	7590500	13	ERN2	1	100nM	1.0	0.9314448373586136	0.9486369222280742	1.1794698166679207	0.12088305369548316	1.0475384345296317	1.241579514959998	0.884759110174805	0.9518345747749103	22.926980725507132	6.619533772432477	10.0	0.8161921952768646	1.018063920142344	0.3188473250752448	0.922006036971635	0.28956121701254706	0.09640633828753487	120.77719020865139	12493.405042094684	0.19424384895547475	0.22429510387862248	0.9158997220019717	0.30469731043241244	0.24137425899467194	0.9815638429044757	0.00808144775077572	0.12013072387821967	4.558123282993133e-10	
ERP29	P30040	1	37.072	7925800	8201300	12977000	6221500	8521500	11830000	8958900	17402000	15868000	12	ERP29	0		1.0	1.034759898054455	1.637311060082263	0.7849680789320952	1.075159605339524	1.492593807565167	1.1303464634484848	2.195614322844382	2.002069191753514	22.918125132056687	5.765294036694861	10.0	1.187533314808907	2.0995764744046723	0.822130350389616	1.4708174067868596	0.24759080721084112	0.7101582503823307	3.5302172841381565	148.51429764891182	0.13561135107014832	0.33217792541130947	1.4514513943751373	0.46661178223822664	5.741437150045125	0.03900708250873229	1.4088565310453272	1.7925567549119557	0.5366393680756942	
ERP44	Q9BS26	1	41.629	1432000	2004600	2341400	1773700	2178600	1936800	1987100	5913300	4147300	7	ERP44	0		1.0	1.3998603351955308	1.6350558659217878	1.2386173184357543	1.521368715083799	1.3525139664804469	1.3876396648044693	4.129399441340782	2.896159217877095	20.449600061926343	5.787964488430089	10.0	1.3988395893372418	3.51271479143106	1.3283559120414867	2.0673979345789197	0.3374269526396812	0.8750899958463557	2.7328635070722362	126.82280001923412	0.18481673746814048	0.4527057621752156	2.0215150945423295	0.9718203494265479	16.41358014573103	0.00376520313729175	2.4242115881153374	4.920782927187534	1.2739587301041755	up
ESD	P10768	1	66.759	963994	963994	963994	963994	963994	963994	963994	8806700	8483500	10	ESD	7	DMSO;3nM;10nM;30nM;100nM;300nM;1000nM	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9.13563777367909	8.800365977381603	19.87866464143439	5.763322528857203	10.0	0.9961645271443207	8.976354513417952	3.171673711590932	3.470908792203224	0.08712059742759148	0.9993087219981642	0.14011190420112024	5.870993081172318	0.047718015267311245	0.11688454688694497	3.3016858467519987	3.3558370776346362	3336.182230131061	5.8100040882458934e-09	8.23582356201552	94.73910746419513	4.297895399256505	up
ESYT1	Q9BSJ8	1	50.536	963994	963994	25147000	963994	24128000	963994	26714000	35597000	19305000	15	ESYT1	4	DMSO;3nM;30nM;300nM	1.0	1.0	26.08626194768847	1.0	25.029201426564896	1.0	27.711790737286748	36.926578381193245	20.026058253474606	19.87866464143439	6.1766136574230925	8.10427808089272	10.843758406808357	28.844872955406913	1.4114500330299204	18.286026303432944	10.355029241928182	0.4230223473318466	9.874982747635352	451.227313686325	6.2133384438611206	9.824995394540313	17.83766460563671	13.826140379721858	1.7612689603130178	0.29751621327169353	0.5264893622293262	1.118682219206792	0.30169916180924616	
ETFA	P13804	1	48.985	7311600	4496000	8683700	6159200	5449300	6971300	7523300	20468000	13092000	12	ETFA	0		1.0	0.6149132884731112	1.187660703539581	0.8423874391378084	0.7452951474369495	0.9534575195579627	1.0289539909185403	2.799387275015045	1.7905793533563106	22.80175571551319	5.836789358330332	7.197623749780053	0.8947321901430787	2.29002415882179	1.3558349910880798	1.3530544216380216	0.2833578312379261	0.8052773201761416	1.4785885220971955	64.23584733190366	0.1552115609611793	0.3801636648019013	1.3182740176831762	0.6499071122764734	9.586264396842932	0.012978715696524316	1.8867682808413828	3.6585130209470953	1.0291151489227328	up
ETFB	P38117	1	44.071	963994	963994	9102000	5692300	9669300	8604400	963994	15594000	12007000	13	ETFB	3	DMSO;3nM;1000nM	1.0	1.0	9.4419674811254	5.904912271238203	10.030456621099301	8.925781695736696	1.0	16.176449231011812	12.45547171455424	19.87866464143439	5.727703956477271	10.0	6.04914186971191	14.326282899673961	1.2438619346681699	8.542268917094699	3.643833549725509	0.5042966122330268	6.73345871159279	319.545911044616	1.9958139552167542	4.888715711046774	8.37343469740715	5.280349881845242	2.474880820054118	0.18177888154312008	0.740456573050427	1.3728155456598123	0.39421112749132786	
EWSR1	Q01844	1	27.102	963994	3146100	3641700	3551000	963994	963994	963994	6970100	3580800	4	EWSR1	4	DMSO;100nM;300nM;1000nM	1.0	3.2636095245406094	3.7777206082195534	3.683632885681861	1.0	1.0	1.0	7.23043919360494	3.71454594115731	19.87866464143439	5.775086863274997	10.0	2.2242713427804683	5.472888625880348	1.2989697020718078	3.2412575763193354	1.4094322016301237	0.4942767667546565	6.208218884262607	270.2673470437471	0.7719794110643784	1.8909517279838628	3.171759686981773	2.0075218556849816	2.3147258842952705	0.20161807412516097	0.6954705379954765	1.333834335268693	0.3803059485827823	
EXOC4	Q96A65	1	32.1	963994	963994	1318600	963994	963994	963994	963994	963994	1665800	6	EXOC4	7	DMSO;3nM;30nM;100nM;300nM;1000nM;3000nM	1.0	1.0	1.367850837245875	1.0	1.0	1.0	1.0	1.0	1.7280190540605025	19.87866464143439	4.957968563724665	2.710415364429804	1.0526517883602917	1.7601315387642922	0.7052036083280806	1.1314221934241337	0.11621421438924452	0.7714717891459206	34.047958834797676	146.24028238053825	0.06457036741461172	15.76451965856252	1.1404468923442073	0.24381935625577356	7.65376615269257	0.021287816048955965	1.6718688912407962	1.7984976556122427	0.5385582311097794	
EZR	P15311	1	80.839	8949600	9940100	11241000	9307000	8415600	12840000	10894000	28559000	22359000	26	EZR	0		1.0	1.110675337445249	1.2560337892196298	1.039934745686958	0.940332528828104	1.4347009922231162	1.2172611066416377	3.1910923393224278	2.4983239474389918	23.093391772269523	5.783943316080049	10.0	1.1559363885471516	2.8448275792887525	1.2992792074359605	1.6883865996921488	0.2158574116932269	0.9148128459580328	2.059642738490923	93.59321888155385	0.1182302190792398	0.2896031076455719	1.6519223463360633	0.7510824159027768	24.99104582398135	0.0013761498407617436	2.8613342757857945	5.990578664396628	1.446813893196432	up
FADS2	O95864	1	10.384	963994	963994	4437900	963994	963994	963994	963994	963994	2260200	7	FADS2	7	DMSO;3nM;30nM;100nM;300nM;1000nM;3000nM	1.0	1.0	4.603659358875678	1.0	1.0	1.0	1.0	1.0	2.3446204022016737	19.87866464143439	7.65433001909752	10.0	2.5509816041460174	1.2443408329918062	-1.0356707906811398	1.5280611273622053	1.0836534824889825	0.12465158416615163	46.72011755214706	3552.0981869568677	1.0280501577031966	0.6501938520234734	1.5968134417051112	1.1591971172214997	0.32463839182446036	0.9470008382274523	0.023649636585537565	0.2458757676350201	0.0087350284298288	
FAM49B	Q9NUQ9;Q9H0Q0	1	66.015	6233000	6334800	963994	5156400	5421600	6034800	5379800	9723900	9671200	11	FAM49B	1	10nM	1.0	1.0163324241938072	0.15465971442323118	0.8272741857853361	0.8698219156104604	0.9682015081020375	0.8631156746350073	1.5600673832825285	1.5516123856890742	22.57149528207297	5.792867750240273	4.591538139626639	0.7769091804783566	1.5663218645748815	1.0115617663038106	1.027545565306826	0.24574737889166529	0.6104823764419111	0.544782204912953	10.828745823554808	0.1348118086368433	0.3297221559898286	1.0100370361228697	0.39497491001715146	3.5622427836400163	0.09814944970652663	1.008112131011391	1.5716085525038213	0.4633534206838863	
FARSA	Q9Y285	1	122.32	8422900	8430800	8603700	7632600	12135000	9446400	8022800	10408000	10990000	15	FARSA	0		1.0	1.0009379192439658	1.0214652910517754	0.9061724584169348	1.4407151931045128	1.1215139678732977	0.9524985456315521	1.2356789229362808	1.3047762647069299	23.00588560728249	7.324009412832865	10.0	0.9812195559033006	1.2086510838159	0.30074993165936087	1.1404859128043758	0.12712087955532703	0.44366162724345115	24.211885373727487	1213.634020004736	0.09846848595288292	0.08527596878092669	1.128418222483212	0.1714987505559012	1.8451579828032278	0.27955273681155646	0.5535362516566449	0.37313450268672627	0.0355716699643676	
FARSB	Q9NSD9	1	41.016	7564900	6177600	6064800	6809000	963994	6512500	5324100	7691500	963994	19	FARSB	2	100nM;30000nM	1.0	0.81661357056934	0.8017026001665587	0.900077991777816	0.1274298404473291	0.860883818688945	0.7037898716440403	1.0167351848669512	0.1274298404473291	22.85088958098527	4.847060797399733	3.6961690574429986	0.751738228022028	0.09376643258518269	-2.4991565242921943	0.6972253193644325	0.250704812433339	0.3953439104656308	1836.7057734053406	9195.157870743584	0.1378899512264979	881.8391479421634	0.6821589029088797	0.3232956840211134	1.4915968443844843	0.3665335219828668	0.43588630002304884	1.1631788988782106	0.31819400912198365	
FASN	P49327	1	323.31	179670000	181500000	212670000	181900000	218180000	198200000	192390000	216030000	206670000	95	FASN	0		1.0	1.0101853397896143	1.1836700617799298	1.012411643568765	1.2143373963377302	1.1031335225691545	1.0707964601769913	1.2023710135247954	1.1502755050926698	27.420774297248993	8.298798391221695	10.0	1.0062522067132857	1.1362005154551464	0.17416189347112568	1.1289127190313348	0.06118472167854243	0.4331253789033277	12.97887429818811	567.3050139587939	0.08208791811435866	0.03351243333522715	1.1197676509498182	0.08255217658646934	1.8459401051896411	0.2793920766648062	0.55378591429036	0.19040448362424894	0.0024221719255032637	not
FDPS	P14324	1	103.01	17034000	14102000	18263000	15187000	13220000	14008000	11177000	15215000	14803000	8	FDPS	0		1.0	0.8278736644358342	1.0721498180110367	0.891569801573324	0.7760948690853587	0.8223552894211577	0.6561582716919103	0.8932135728542914	0.8690266525771986	24.021913919107636	7.517732327702824	10.0	0.9617369710624106	0.8131425685315645	-0.2421340573805894	0.8504823513756956	0.0864169166611843	0.4270610048728928	26.269935124260087	51081.751641192	0.07892473376623332	0.05325502590574221	0.859196764841358	0.11447722870207085	1.6984186936998522	0.311979392604743	0.5058740917944409	0.28104623744978663	0.014622775906958277	
FECH	P22830	1	323.31	110620000	105880000	103300000	119330000	134800000	125120000	126660000	74210000	85915000	28	FECH	0		1.0	0.9571506056770928	0.9338275176279154	1.078738022057494	1.2185861507864761	1.13107937081902	1.1450009039956608	0.6708551798951365	0.7766678719942144	26.721037006265373	5.756963679429137	10.0	1.074642721680663	0.7234408356374925	-0.5709101572848201	0.966289482578031	0.09069474047104965	0.7105414637527179	3.2297250421679364	134.8081465710274	0.04967565803318247	0.1216797629733638	0.9737050262158741	0.1693795925026178	5.597665453187899	0.04108120823981308	1.3863567918477118	1.2421578706050043	0.34717930217418774	
FEN1	P39748;CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	1	105.02	963994	6392400	6825500	6994400	5753200	963994	963994	963994	11661000	12	FEN1	4	DMSO;300nM;1000nM;3000nM	1.0	6.631161604740279	7.08043825998917	7.255646819378544	5.968086938300446	1.0	1.0	1.0	12.09654831876547	19.87866464143439	4.855984842428739	3.6509436898125647	4.135820761772408	12.492748544691395	1.5384501828784765	4.846423483666536	2.7391137225184	0.46807768403245	1295.738760475979	6508.958493456862	1.5068965020292013	7607.663418826902	5.031859199251319	3.764004736046496	1.9987650229583716	0.250209198689601	0.6016967279491593	1.2812868985913528	0.36138940377008777	
FER	P16591	1	323.31	608050000	627250000	575790000	695440000	665190000	707430000	691500000	493370000	498670000	64	FER	0		1.0	1.03157635062906	0.946945152536798	1.1437217334100813	1.0939725351533591	1.1634405065372913	1.137242003124743	0.8113970890551764	0.8201134775100731	29.179614720573912	5.743618145641083	10.0	1.0814863147028966	0.8152821353754968	-0.40764410147120017	1.0002448321414812	0.06767727030591078	0.714390815546294	3.287255009184639	142.4864970924904	0.037068444237945294	0.09079858618931118	1.0058035460140549	0.1270859628257786	5.683996748084485	0.03981795384089647	1.3999210611955983	0.8508677749760157	0.20078258896752432	
FES	P07332	1	323.31	451350000	464110000	449800000	550410000	500410000	553560000	532540000	395110000	378260000	54	FES	0		1.0	1.0282707433255789	0.9965658579816107	1.2194749086075107	1.10869613382076	1.226453971419076	1.179882574498726	0.8753960341198627	0.8380635870167276	28.749671366491306	5.724971157509056	8.412220295098601	1.120722438530743	0.854987850119568	-0.39045319646883797	1.0408630554315292	0.0841845006700009	0.6046793112676333	2.2853593106029724	91.1502383263525	0.04611039640700338	0.11294536105544387	1.046103995705192	0.1340471398318515	3.4547069710904794	0.10370676139828174	0.9841929278709615	0.6589080341083567	0.1289926004871482	
FGFR1	P11362;P22455	1	27.248	6642400	5816100	5616200	6083200	8045300	5136700	5913500	963994	3974900	7	FGFR1	1	3000nM	1.0	0.8756021919788028	0.8455076478381308	0.9158135613633627	1.211203781765627	0.7733198843791401	0.8902655666626521	0.1451273636035168	0.5984132241358545	22.66327317271891	5.817818630090867	8.87636295440648	0.926738403437676	0.3726899560813652	-1.3141862180120105	0.7473735452878958	0.15742700908720483	0.6850936680232026	4.237289208464984	204.75188403147476	0.08622702886418797	0.21121049162273473	0.76047279018705	0.2842285234714607	5.084311430405997	0.049870919253181135	1.302152626509838	2.3693562828607235	0.7110002571350709	
FGR	P09769	1	16.422	12293000	8841700	7142100	963994	963994	963994	963994	963994	963994	10	FGR	6	30nM;100nM;300nM;1000nM;3000nM;30000nM	1.0	0.7192467257788986	0.5809891808346214	0.07841812413568698	0.07841812413568698	0.07841812413568698	0.07841812413568698	0.07841812413568698	0.07841812413568698	23.55133370009818	7.914469134487783	2.379721392424545	0.8260300183165401	0.07132595483827421	-3.4875828212495215	0.1873246777156663	0.07010963652058239	0.9574123537601275	0.10537861024163708	1.3367403272554639	0.07575136828230143	0.0430777213144675	0.233470683753731	0.34778065228733107	53.11533377119126	0.0002149395033171173	3.6676837590269207	21.65359976014176	2.710990693299716	down
FH	P07954	1	68.788	963994	4192600	7244200	963994	2856500	963994	5614200	963994	963994	13	FH	5	DMSO;30nM;300nM;3000nM;30000nM	1.0	4.349197194173407	7.514777062927777	1.0	2.963192716967118	1.0	5.823895169472009	1.0	1.0	19.87866464143439	7.724744619052763	10.0	5.113649733390598	2.071066675607506	-1.3039793353709523	2.6781640185269833	2.181455934081149	0.14303254831255174	12.607719133576262	616.4754452265015	2.06952363744162	1.3088768301266096	2.8568687628282396	2.3564925058682458	0.3755588364795621	0.9199990658332476	0.03621261363669658	0.2955101054326005	0.01741978621694308	
FIBP	O43427	1	323.31	172360000	155880000	142700000	179260000	153720000	176560000	166320000	125220000	156460000	30	FIBP	0		1.0	0.9043861684845672	0.82791831051288	1.0400324901369227	0.891854258528661	1.0243676026920399	0.9649570666047806	0.7265026688326758	0.9077512183801346	27.360849762659832	5.812480032421086	10.0	0.94600585850763	0.8170047447914776	-0.21150466112899322	0.9044158579348949	0.07701929702077796	0.33943292597563834	15.363333716602089	814.8410846543732	0.04218529449713747	0.1033322300642432	0.9073651748576324	0.09572001059833596	1.225272737366936	0.45602039471398953	0.34101573384065537	0.20956668066368597	0.0041627595738418476	not
FIS1	Q9Y3D6	1	22.469	1999200	2275700	4092800	2116000	963994	2504500	3461200	4600600	7448300	2	FIS1	1	100nM	1.0	1.1383053221288515	2.047218887555022	1.0584233693477392	0.48218987595038015	1.2527511004401761	1.7312925170068028	2.3012204881952782	3.725640256102441	20.930991375861428	5.386153461389684	1.187792958602099	1.180887335985077	3.877112051101887	1.6253178748313313	1.7849507532929079	0.38838346797835277	0.8178050812159328	0.6347644805720145	1.5595247974795379	0.2489087488416126	1.30377772151011	1.7617697463600828	0.9183515632237746	10.329952074451544	0.010975557680554093	1.9595734035292092	4.379642203577773	1.1753359553521645	up
FKBP10	Q96AY3	1	6.3517	2047300	2214200	2421200	2304300	3197200	3378800	3167900	3056900	3277500	4	FKBP10	0		1.0	1.0815220045914131	1.1826307820055684	1.1255311874175744	1.5616665852586333	1.6503687783910517	1.5473550529966298	1.4931373027890391	1.6008889757241245	20.96529109171483	7.262430584280244	6.750099224254665	1.1166235513634828	1.5679997846906633	0.4897824692594319	1.4257656988640328	0.060635476717382515	0.937498063154699	0.5608902373105575	14.37705362450067	0.04698640264632474	0.04068743421787154	1.4031585690722115	0.24628803605608787	34.87064865943609	0.0006097499532558044	3.2148482243077896	1.9155020075506461	0.5758078064065324	
FKBP1A	P62942	1	15.585	963994	963994	10762000	7500100	6956300	8466400	7784200	28164000	14028000	4	FKBP1A	2	DMSO;3nM	1.0	1.0	11.163969900227595	7.780235146691784	7.216123751807584	8.78262727776314	8.074946524563432	29.215949476863965	14.551957792268416	19.87866464143439	5.836567346054775	8.46835064071488	7.069980254951114	21.844060373975257	1.6274629583408688	11.9221154147751	4.738547387823846	0.6461048212771343	4.890273568446615	251.90235591859616	2.5954447327633856	6.357426957340081	11.55189838398292	8.14205206808373	4.39293208699365	0.06639522666965662	1.1778631421010264	2.4141965941976626	0.7236031626577042	
FKBP3	Q00688	1	102.54	963994	963994	963994	963994	963994	963994	963994	7766200	4812700	7	FKBP3	7	DMSO;3nM;10nM;30nM;100nM;300nM;1000nM	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8.056274209175577	4.992458459285016	19.87866464143439	5.787196036146389	10.0	0.9953150407531334	6.524281926706164	2.712593974850515	2.742907149387208	0.7252218576617927	0.9092619860617175	2.219297961131568	102.57306081367373	0.397221195844878	0.9729872236199264	2.6230269786230713	2.439806390843946	23.215457174862777	0.001644801150829542	2.78388659881885	10.580672901754891	1.9830849331774485	up
FKBP4	Q02790	1	93.502	963994	13629000	10521000	10653000	963994	10408000	8507500	25151000	22817000	17	FKBP4	2	DMSO;100nM	1.0	14.138054801170961	10.913968344201313	11.050898657045582	1.0	10.796747697599777	8.825262397898742	26.090411351107996	23.669234455816117	19.87866464143439	5.7680778199035245	10.0	8.863085520895613	24.892158268584396	1.489810385074919	13.852932159018128	4.311432125190639	0.7187638130547318	3.576875723485572	151.61618119811862	2.3614735234929634	5.784393188990447	13.511912857421233	8.279965833323887	6.048440811122268	0.03503891538849287	1.4554493456570075	2.887652590350777	0.8492788614509524	
FLAD1	Q8NFF5	1	6.5713	6243900	6265100	7047700	963994	963994	963994	963994	963994	963994	5	FLAD1	6	30nM;100nM;300nM;1000nM;3000nM;30000nM	1.0	1.0033953138262945	1.1287336440365796	0.15438972437098608	0.15438972437098608	0.15438972437098608	0.15438972437098608	0.15438972437098608	0.15438972437098608	22.57401600115323	7.75397625259391	10.0	1.0558224107672833	0.15391002206210475	-2.7782080858064035	0.3272806932275345	0.03599552685554453	0.9926831402292647	0.4841023296841277	20.513017794209187	0.034148567142785066	0.021597369822126813	0.38097264776575784	0.4265872676941314	313.7602917680572	2.4197688628833664e-06	5.616226115989984	42.177012259284034	3.4188220131375835	down
FLNA	P21333	1	323.31	105300000	116140000	136290000	117310000	156390000	138400000	144370000	175980000	154960000	79	FLNA	0		1.0	1.1029439696106362	1.2943019943019942	1.1140550807217473	1.4851851851851852	1.3143399810066476	1.3710351377018044	1.6712250712250711	1.471604938271605	26.649930195462527	7.246478865238587	0.4512135585052225	1.0108030831624895	1.5910454394084967	0.4607857488408838	1.3810212228682033	0.10836020910922634	0.7132328713357032	1.1126844891176522	0.4423180087686819	0.14340159816342118	0.22805614454063466	1.3588319088319087	0.20728928434663063	5.983728711210649	0.03582719463475377	1.4457871969230642	1.0064202708447207	0.2596468839546314	
FLNB	O75369	1	86.562	10792000	12979000	12331000	13423000	15455000	13340000	12657000	16698000	16168000	41	FLNB	0		1.0	1.2026501111934766	1.142605633802817	1.2437916975537435	1.4320793180133433	1.2361008154188287	1.172813194959229	1.5472572275759822	1.498146775389177	23.363458917610355	5.752065811372415	10.0	1.2278506919800931	1.5230689016248808	0.31084607087876737	1.3185702932226528	0.10866243647977993	0.5911354939350089	4.59643318307003	193.2191107658391	0.05951699076892868	0.14578595678594183	1.312359226207447	0.17398518108896835	3.5183042551252575	0.10036948741901637	0.9983982937605455	0.5067514481249106	0.07571005878769023	
